<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill180318,20180416, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180415, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180411, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180410, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180409, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180408, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180407, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180404, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180403, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180328, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180327, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180326, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180325, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180319, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180318, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180317, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180314, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180313, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180312, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180311, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
TreasuryBill180318,20180310, 0.00, 0.00, 0.00, 994059.00,0.00, 0,0,D,994059.00,995000.00
