<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill180110,20180205, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180204, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180203, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180131, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180130, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180129, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180128, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180127, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180124, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180123, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180122, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180121, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180120, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180117, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180116, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180115, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180114, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180113, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180110, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180109, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180108, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180107, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180106, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180103, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180102, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20180101, 0.00, 0.00, 0.00, 994517.00,0.00, 0,0,D,994517.00,995000.00
TreasuryBill180110,20171231, 993000.00, 995600.00, 993000.00, 994517.00,208503378105.00, 209653,90,D,994295.00,995000.00
TreasuryBill180110,20171230, 994000.00, 994600.00, 993355.00, 994295.00,196120760580.00, 197246,96,D,993806.00,994212.00
TreasuryBill180110,20171227, 993300.00, 994000.00, 993300.00, 993806.00,74440057112.00, 74904,91,D,992963.00,994000.00
TreasuryBill180110,20171226, 992315.00, 993995.00, 992315.00, 992963.00,90565202033.00, 91207,71,D,992722.00,993002.00
TreasuryBill180110,20171225, 992630.00, 992800.00, 992501.00, 992722.00,129824218369.00, 130776,87,D,992477.00,992702.00
TreasuryBill180110,20171224, 992000.00, 992890.00, 992000.00, 992477.00,61269593844.00, 61734,65,D,991630.00,992600.00
TreasuryBill180110,20171223, 991200.00, 992500.00, 991000.00, 991630.00,119356511877.00, 120364,84,D,990898.00,991560.00
TreasuryBill180110,20171220, 990300.00, 991200.00, 990300.00, 990898.00,139764152855.00, 141048,79,D,990114.00,991200.00
TreasuryBill180110,20171219, 989850.00, 990400.00, 989850.00, 990114.00,71809977267.00, 72527,70,D,989853.00,990203.00
TreasuryBill180110,20171218, 989301.00, 990050.00, 989301.00, 989853.00,246882164934.00, 249413,88,D,989014.00,990000.00
TreasuryBill180110,20171217, 988533.00, 989500.00, 988533.00, 989014.00,187225318165.00, 189305,61,D,988863.00,989500.00
TreasuryBill180110,20171216, 989100.00, 989500.00, 988400.00, 988863.00,286342954558.00, 289568,122,D,988237.00,989000.00
TreasuryBill180110,20171215, 0.00, 0.00, 0.00, 988237.00,0.00, 0,0,D,988237.00,988500.00
TreasuryBill180110,20171214, 0.00, 0.00, 0.00, 988237.00,0.00, 0,0,D,988237.00,988500.00
TreasuryBill180110,20171213, 987902.00, 988500.00, 987501.00, 988237.00,97954058153.00, 99120,56,D,987398.00,988500.00
TreasuryBill180110,20171212, 987300.00, 987550.00, 987002.00, 987398.00,68604411385.00, 69480,60,D,987080.00,987500.00
TreasuryBill180110,20171211, 986205.00, 987500.00, 986205.00, 987080.00,171386723356.00, 173630,57,D,986765.00,986728.00
TreasuryBill180110,20171210, 986751.00, 986800.00, 986700.00, 986765.00,74957633104.00, 75963,55,D,986018.00,986800.00
TreasuryBill180110,20171209, 985022.00, 986875.00, 985022.00, 986018.00,278951520800.00, 282907,157,D,984299.00,986111.00
TreasuryBill180110,20171205, 983600.00, 985001.00, 983600.00, 984299.00,53044871295.00, 53891,52,D,983504.00,985001.00
TreasuryBill180110,20171204, 983009.00, 984992.00, 983009.00, 983504.00,74273236609.00, 75519,70,D,983501.00,983600.00
TreasuryBill180110,20171203, 983500.00, 983590.00, 983138.00, 983501.00,115827845932.00, 117771,91,D,983070.00,983515.00
TreasuryBill180110,20171202, 983076.00, 983436.00, 982902.00, 983070.00,125246058065.00, 127403,83,D,982721.00,983100.00
TreasuryBill180110,20171129, 982150.00, 983350.00, 982150.00, 982721.00,152968356744.00, 155658,68,D,981524.00,983350.00
TreasuryBill180110,20171128, 980523.00, 982200.00, 980501.00, 981524.00,93657026481.00, 95420,71,D,980598.00,982200.00
TreasuryBill180110,20171126, 980498.00, 981400.00, 980002.00, 980598.00,70425538728.00, 71819,56,D,980066.00,981000.00
TreasuryBill180110,20171125, 980500.00, 980500.00, 979211.00, 980066.00,148200701710.00, 151215,114,D,980065.00,980033.00
TreasuryBill180110,20171122, 980200.00, 980500.00, 980001.00, 980065.00,161635236835.00, 164923,133,D,979227.00,980021.00
TreasuryBill180110,20171121, 980000.00, 980000.00, 977740.00, 979227.00,237290182532.00, 242324,114,D,979628.00,979400.00
TreasuryBill180110,20171120, 978985.00, 979850.00, 978814.00, 979628.00,274001112607.00, 279699,120,D,978737.00,979343.00
TreasuryBill180110,20171118, 978488.00, 979000.00, 978003.00, 978737.00,188525311730.00, 192621,63,D,977905.00,978804.00
TreasuryBill180110,20171115, 977506.00, 978001.00, 977506.00, 977905.00,162806542696.00, 166485,85,D,977246.00,978001.00
TreasuryBill180110,20171114, 976814.00, 977500.00, 976814.00, 977246.00,148477809069.00, 151935,94,D,976545.00,977350.00
TreasuryBill180110,20171113, 976046.00, 976750.00, 976046.00, 976545.00,105431733058.00, 107964,56,D,976048.00,976612.00
TreasuryBill180110,20171112, 976000.00, 976175.00, 976000.00, 976048.00,128422606693.00, 131574,70,D,975602.00,976170.00
