<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

TreasuryBill180213,20180416, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180415, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180411, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180410, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180409, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180408, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180407, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180404, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180403, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180328, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180327, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180326, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180325, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180319, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180318, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180317, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180314, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180313, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180312, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180311, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180310, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180307, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180306, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180305, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180304, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180303, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180228, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180227, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180226, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180225, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180224, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180221, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180219, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180218, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180217, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180214, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180213, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180212, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180210, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180207, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180206, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180205, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180204, 0.00, 0.00, 0.00, 995041.00,0.00, 0,0,D,995041.00,995010.00
TreasuryBill180213,20180203, 995001.00, 995390.00, 995000.00, 995041.00,58835808429.00, 59129,25,D,994922.00,995010.00
TreasuryBill180213,20180131, 994800.00, 995003.00, 994510.00, 994922.00,34147716336.00, 34322,36,D,993628.00,994510.00
TreasuryBill180213,20180130, 993599.00, 994400.00, 993410.00, 993628.00,24742337787.00, 24901,17,D,993250.00,993700.00
TreasuryBill180213,20180129, 993102.00, 993400.00, 993102.00, 993250.00,45799761902.00, 46111,8,D,992995.00,993400.00
TreasuryBill180213,20180128, 992347.00, 993500.00, 992347.00, 992995.00,56769499742.00, 57170,14,D,992500.00,993500.00
TreasuryBill180213,20180127, 992406.00, 992700.00, 992307.00, 992500.00,25086428494.00, 25276,14,D,992265.00,992344.00
TreasuryBill180213,20180124, 992100.00, 992500.00, 992003.00, 992265.00,218076011820.00, 219776,25,D,991339.00,992401.00
TreasuryBill180213,20180123, 990999.00, 991700.00, 990850.00, 991339.00,37550935815.00, 37879,35,D,990691.00,991200.00
TreasuryBill180213,20180122, 991800.00, 991800.00, 990225.00, 990691.00,36098810537.00, 36438,14,D,990305.00,990700.00
TreasuryBill180213,20180121, 990025.00, 991400.00, 990025.00, 990305.00,28320756321.00, 28598,13,D,990001.00,990400.00
TreasuryBill180213,20180120, 990000.00, 990489.00, 990000.00, 990001.00,9115930412.00, 9208,21,D,989249.00,990001.00
TreasuryBill180213,20180117, 988422.00, 991300.00, 988422.00, 989249.00,65517952838.00, 66230,45,D,988427.00,989620.00
TreasuryBill180213,20180116, 988213.00, 990000.00, 988213.00, 988427.00,102465280935.00, 103665,29,D,987919.00,988402.00
TreasuryBill180213,20180115, 987532.00, 989193.00, 987532.00, 987919.00,11726604525.00, 11870,24,D,987341.00,989193.00
TreasuryBill180213,20180114, 987300.00, 988950.00, 987300.00, 987341.00,29437580420.00, 29815,22,D,987110.00,987532.00
TreasuryBill180213,20180113, 986001.00, 987999.00, 986001.00, 987110.00,4250494543.00, 4306,29,D,985792.00,987900.00
TreasuryBill180213,20180110, 985553.00, 986690.00, 985553.00, 985792.00,1908492492.00, 1936,19,D,985373.00,985821.00
TreasuryBill180213,20180109, 986000.00, 990000.00, 985122.00, 985373.00,15614228379.00, 15846,10,D,985321.00,985123.00
TreasuryBill180213,20180108, 984951.00, 985605.00, 984951.00, 985321.00,839493910.00, 852,7,D,984836.00,985600.00
TreasuryBill180213,20180107, 984603.00, 984990.00, 984601.00, 984836.00,1745130189.00, 1772,19,D,984354.00,984950.00
TreasuryBill180213,20180106, 984000.00, 984660.00, 984000.00, 984354.00,8465445580.00, 8600,17,D,982015.00,984600.00
TreasuryBill180213,20180103, 982000.00, 984000.00, 981936.00, 982015.00,39711714572.00, 40439,12,D,982200.00,984000.00
TreasuryBill180213,20180102, 982000.00, 982499.00, 982000.00, 982200.00,2598900743.00, 2646,16,D,980990.00,982302.00
TreasuryBill180213,20180101, 981000.00, 981000.00, 980502.00, 980990.00,121076752718.00, 123423,31,D,980986.00,981000.00
TreasuryBill180213,20171231, 981000.00, 982000.00, 980211.00, 980986.00,22355697059.00, 22789,74,D,980359.00,981999.00
TreasuryBill180213,20171230, 980001.00, 981000.00, 980001.00, 980359.00,5842937726.00, 5960,27,D,980222.00,980251.00
TreasuryBill180213,20171227, 980000.00, 981250.00, 979803.00, 980222.00,3789536513.00, 3866,13,D,978928.00,979803.00
TreasuryBill180213,20171226, 978632.00, 980000.00, 978632.00, 978928.00,724406740.00, 740,19,D,978625.00,980000.00
TreasuryBill180213,20171225, 978660.00, 979000.00, 978555.00, 978625.00,60576899722.00, 61900,37,D,978602.00,978632.00
TreasuryBill180213,20171224, 978501.00, 978604.00, 978501.00, 978602.00,1159643329.00, 1185,6,D,977324.00,978604.00
TreasuryBill180213,20171223, 977223.00, 979000.00, 977223.00, 977324.00,953867844.00, 976,15,D,979755.00,979000.00
TreasuryBill180213,20171220, 976831.00, 980000.00, 976831.00, 979755.00,1574465978.00, 1607,22,D,978442.00,980000.00
TreasuryBill180213,20171219, 975416.00, 978600.00, 975416.00, 978442.00,39487944276.00, 40358,44,D,977917.00,978000.00
TreasuryBill180213,20171218, 975999.00, 978500.00, 975997.00, 977917.00,27562602660.00, 28185,19,D,975384.00,978300.00
TreasuryBill180213,20171217, 975000.00, 976000.00, 975000.00, 975384.00,69188837951.00, 70935,53,D,974640.00,975790.00
TreasuryBill180213,20171216, 974005.00, 977900.00, 974005.00, 974640.00,25635967299.00, 26303,39,D,973987.00,975013.00
TreasuryBill180213,20171215, 0.00, 0.00, 0.00, 973987.00,0.00, 0,0,D,973987.00,974044.00
TreasuryBill180213,20171214, 0.00, 0.00, 0.00, 973987.00,0.00, 0,0,D,973987.00,974044.00
TreasuryBill180213,20171213, 973900.00, 974499.00, 973900.00, 973987.00,70547823408.00, 72432,34,D,972969.00,974044.00
TreasuryBill180213,20171212, 972501.00, 973004.00, 972501.00, 972969.00,2752529129.00, 2829,14,D,972693.00,973002.00
TreasuryBill180213,20171211, 972560.00, 973000.00, 972560.00, 972693.00,6537467883.00, 6721,11,D,972651.00,972700.00
TreasuryBill180213,20171210, 975000.00, 975000.00, 972010.00, 972651.00,1017392520.00, 1046,5,D,973679.00,973000.00
TreasuryBill180213,20171209, 971001.00, 975000.00, 971001.00, 973679.00,19522265686.00, 20050,15,D,970005.00,971005.00
TreasuryBill180213,20171205, 970100.00, 970410.00, 970003.00, 970005.00,1224146425.00, 1262,5,D,969986.00,970410.00
TreasuryBill180213,20171204, 969501.00, 970001.00, 969501.00, 969986.00,3841145326.00, 3960,9,D,970134.00,970000.00
TreasuryBill180213,20171203, 969017.00, 971100.00, 969017.00, 970134.00,7642712713.00, 7878,16,D,969714.00,971100.00
TreasuryBill180213,20171202, 969000.00, 970000.00, 969000.00, 969714.00,70834689397.00, 73047,21,D,969029.00,969020.00
TreasuryBill180213,20171129, 969000.00, 969102.00, 969000.00, 969029.00,779099629.00, 804,6,D,968472.00,969023.00
TreasuryBill180213,20171128, 968000.00, 968699.00, 968000.00, 968472.00,28963121532.00, 29906,33,D,967790.00,968101.00
TreasuryBill180213,20171126, 966807.00, 968000.00, 966700.00, 967790.00,8563974706.00, 8849,30,D,966708.00,967900.00
TreasuryBill180213,20171125, 966202.00, 966801.00, 966202.00, 966708.00,1108814357.00, 1147,12,D,966408.00,966801.00
TreasuryBill180213,20171122, 966404.00, 967000.00, 966404.00, 966408.00,11174573533.00, 11563,9,D,966159.00,967000.00
TreasuryBill180213,20171121, 966100.00, 966443.00, 965920.00, 966159.00,184527669486.00, 190991,36,D,965965.00,966304.00
TreasuryBill180213,20171120, 965900.00, 966500.00, 965900.00, 965965.00,117341538839.00, 121476,44,D,965396.00,966500.00
TreasuryBill180213,20171118, 965500.00, 965599.00, 965017.00, 965396.00,6420847489.00, 6651,41,D,964993.00,965400.00
TreasuryBill180213,20171115, 963506.00, 965170.00, 963506.00, 964993.00,1485124238.00, 1539,6,D,963921.00,965170.00
TreasuryBill180213,20171114, 963600.00, 964500.00, 963600.00, 963921.00,3688924821.00, 3827,8,D,963119.00,963906.00
TreasuryBill180213,20171113, 963011.00, 963300.00, 963011.00, 963119.00,1533285402.00, 1592,8,D,963005.00,963300.00
TreasuryBill180213,20171112, 963500.00, 963697.00, 963000.00, 963005.00,21822668269.00, 22661,27,D,962341.00,963008.00
TreasuryBill180213,20171111, 962460.00, 963499.00, 961501.00, 962341.00,5540197901.00, 5757,18,D,962146.00,961501.00
TreasuryBill180213,20171108, 962000.00, 962999.00, 961521.00, 962146.00,76375115791.00, 79380,16,D,960724.00,962500.00
TreasuryBill180213,20171107, 960100.00, 962000.00, 960100.00, 960724.00,580277576.00, 604,23,D,959985.00,961005.00
TreasuryBill180213,20171106, 959500.00, 960017.00, 959500.00, 959985.00,11625413884.00, 12110,18,D,959945.00,960017.00
TreasuryBill180213,20171105, 959442.00, 960500.00, 959442.00, 959945.00,3786022675.00, 3944,16,D,959241.00,960490.00
TreasuryBill180213,20171104, 959060.00, 960000.00, 959060.00, 959241.00,59535323447.00, 62065,24,D,959202.00,960000.00
TreasuryBill180213,20171101, 958502.00, 960000.00, 958502.00, 959202.00,30378889108.00, 31671,8,D,958999.00,960000.00
TreasuryBill180213,20171031, 959000.00, 959998.00, 958988.00, 958999.00,993522977.00, 1036,10,D,958124.00,959000.00
TreasuryBill180213,20171030, 957895.00, 958500.00, 957895.00, 958124.00,1987148485.00, 2074,10,D,957717.00,957965.00
TreasuryBill180213,20171029, 957601.00, 957900.00, 957601.00, 957717.00,2665327642.00, 2783,9,D,957403.00,957851.00
TreasuryBill180213,20171028, 956510.00, 957499.00, 956510.00, 957403.00,1246538555.00, 1302,18,D,956099.00,957450.00
TreasuryBill180213,20171025, 957000.00, 957240.00, 955919.00, 956099.00,1657874936.00, 1734,19,D,955232.00,957240.00
TreasuryBill180213,20171024, 955500.00, 955500.00, 955110.00, 955232.00,2715724551.00, 2843,6,D,954426.00,955221.00
TreasuryBill180213,20171023, 953513.00, 954600.00, 953513.00, 954426.00,13736105930.00, 14392,52,D,953974.00,954600.00
TreasuryBill180213,20171022, 953079.00, 954100.00, 953079.00, 953974.00,48095567782.00, 50416,38,D,953068.00,954019.00
TreasuryBill180213,20171021, 953010.00, 953500.00, 953010.00, 953068.00,3994306716.00, 4191,61,D,952684.00,953020.00
TreasuryBill180213,20171018, 951333.00, 954899.00, 951333.00, 952684.00,14743730689.00, 15476,51,D,951142.00,954705.00
TreasuryBill180213,20171017, 951000.00, 953999.00, 951000.00, 951142.00,11675267660.00, 12275,25,D,950145.00,951070.00
TreasuryBill180213,20171016, 950300.00, 959998.00, 950057.00, 950145.00,1230437340.00, 1295,14,D,950054.00,959998.00
TreasuryBill180213,20171015, 951000.00, 951000.00, 950001.00, 950054.00,26225288181.00, 27604,47,D,949001.00,950300.00
TreasuryBill180213,20171014, 948049.00, 950000.00, 948049.00, 949001.00,39287686203.00, 41399,28,D,948044.00,950000.00
TreasuryBill180213,20171011, 948000.00, 948101.00, 948000.00, 948044.00,48920010010.00, 51601,42,D,947390.00,948040.00
TreasuryBill180213,20171010, 947500.00, 950000.00, 947073.00, 947390.00,9518432306.00, 10047,26,D,947073.00,947200.00
TreasuryBill180213,20171009, 946900.00, 947990.00, 946700.00, 947073.00,15050890280.00, 15892,25,D,946425.00,947990.00
TreasuryBill180213,20171008, 948998.00, 948998.00, 946400.00, 946425.00,24503881819.00, 25891,33,D,946283.00,946550.00
TreasuryBill180213,20171007, 946000.00, 948499.00, 946000.00, 946283.00,4719113892.00, 4987,26,D,944528.00,946100.00
TreasuryBill180213,20171004, 943300.00, 949998.00, 943200.00, 944528.00,11031148326.00, 11679,29,D,941510.00,949698.00
TreasuryBill180213,20171003, 942000.00, 942998.00, 941500.00, 941510.00,1178770996.00, 1252,24,D,940684.00,942998.00
TreasuryBill180213,20171002, 941000.00, 942500.00, 940400.00, 940684.00,8627010050.00, 9171,22,D,938179.00,940900.00
TreasuryBill180213,20170927, 939999.00, 939999.00, 935300.00, 938179.00,10258991922.00, 10935,19,D,935849.00,939999.00
TreasuryBill180213,20170926, 934802.00, 938698.00, 934000.00, 935849.00,2043894721.00, 2184,19,D,930711.00,937900.00
TreasuryBill180213,20170925, 930550.00, 934802.00, 930502.00, 930711.00,7923141838.00, 8513,13,D,931630.00,934801.00
TreasuryBill180213,20170924, 934301.00, 934301.00, 930152.00, 931630.00,19074186715.00, 20474,48,D,935921.00,933940.00
TreasuryBill180213,20170923, 933100.00, 936000.00, 933100.00, 935921.00,7079310444.00, 7564,20,D,934437.00,934100.00
TreasuryBill180213,20170920, 935125.00, 935500.00, 934150.00, 934437.00,62062502358.00, 66417,41,D,935056.00,934602.00
TreasuryBill180213,20170919, 936497.00, 936497.00, 935020.00, 935056.00,3950609926.00, 4225,15,D,935328.00,935400.00
TreasuryBill180213,20170918, 935422.00, 936001.00, 935010.00, 935328.00,19618512010.00, 20975,14,D,935422.00,936000.00
TreasuryBill180213,20170917, 935302.00, 937799.00, 935206.00, 935422.00,12195100776.00, 13037,37,D,934173.00,935206.00
TreasuryBill180213,20170916, 933772.00, 938000.00, 933772.00, 934173.00,11391300869.00, 12194,35,D,933002.00,935000.00
TreasuryBill180213,20170913, 933002.00, 933023.00, 933000.00, 933002.00,2135640995.00, 2289,14,D,932928.00,933020.00
TreasuryBill180213,20170912, 932002.00, 933111.00, 932000.00, 932928.00,85155821423.00, 91278,76,D,932830.00,933020.00
TreasuryBill180213,20170911, 933031.00, 934000.00, 932031.00, 932830.00,43318743750.00, 46438,85,D,932696.00,932031.00
TreasuryBill180213,20170910, 930000.00, 933000.00, 930000.00, 932696.00,80631577040.00, 86450,50,D,926602.00,932001.00
TreasuryBill180213,20170906, 926000.00, 930000.00, 926000.00, 926602.00,363868423416.00, 392691,109,D,1000000.00,926005.00
TreasuryBill180213,20170905, 0.00, 0.00, 0.00, 1000000.00,0.00, 0,0,D,1000000.00,1000000.00
TreasuryBill180213,20170904, 0.00, 0.00, 0.00, 1000000.00,0.00, 0,0,D,1000000.00,1000000.00
TreasuryBill180213,20170903, 0.00, 0.00, 0.00, 1000000.00,0.00, 0,0,D,1000000.00,1000000.00
TreasuryBill180213,20170902, 0.00, 0.00, 0.00, 1000000.00,0.00, 0,0,D,1000000.00,1000000.00
