<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill220509,20240122, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240121, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240120, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240117, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240116, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240115, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240114, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240113, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240110, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240109, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240108, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240107, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240106, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240103, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240102, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20240101, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20231231, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20231230, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
TreasuryBill220509,20231227, 0.00, 0.00, 0.00, 995750.00,0.00, 0,0,D,995750.00,995900.00
