<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill190319,20190608, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190603, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190602, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190601, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190529, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190528, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190526, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190525, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190522, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190521, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190520, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190519, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190518, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190515, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190514, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190513, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190512, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190511, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
TreasuryBill190319,20190508, 0.00, 0.00, 0.00, 992415.00,0.00, 0,0,D,992415.00,991552.00
