<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

TreasuryBill171213,20180213, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180212, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180210, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180207, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180206, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180205, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180204, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180203, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180131, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180130, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180129, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180128, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180127, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180124, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180123, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180122, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180121, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180120, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180117, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180116, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180115, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180114, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180113, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180110, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180109, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180108, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180107, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180106, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180103, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180102, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20180101, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171231, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171230, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171227, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171226, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171225, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171224, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171223, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
TreasuryBill171213,20171220, 0.00, 0.00, 0.00, 994912.00,0.00, 0,0,D,994912.00,994501.00
