<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IslamicTreasury-B,20161121, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161119, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161116, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161115, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161114, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161113, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161112, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161109, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161108, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161107, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161106, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161105, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161102, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161101, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161031, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161030, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161029, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161028, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161027, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161026, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161025, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161024, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161023, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161022, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161019, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
