<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill230130,20240127, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240124, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240123, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240122, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240121, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240120, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240117, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240116, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240115, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240114, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240113, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240110, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240109, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240108, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240107, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240106, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240103, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240102, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20240101, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231231, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231230, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231227, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231226, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231225, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231224, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231223, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231220, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231219, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231218, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231216, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231213, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231212, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231211, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231210, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231209, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231206, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231205, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231204, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231203, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231202, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231129, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231128, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231127, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231126, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231125, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231122, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231121, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231120, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231119, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231118, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231115, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231114, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231113, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231112, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231111, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231108, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231107, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231106, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231105, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231104, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231101, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231031, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231030, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231029, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231028, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231025, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231024, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231023, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231022, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231021, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231018, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231017, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231016, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231015, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231014, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231011, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231010, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231009, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231008, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231007, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231004, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231002, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20231001, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230930, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230927, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230926, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230925, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230923, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230920, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230919, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230918, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230917, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230913, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230912, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230911, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230910, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230909, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230905, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230904, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230903, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230902, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230830, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230829, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230828, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230827, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230826, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230823, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230822, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230821, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230820, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230819, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230816, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230815, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230814, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230813, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230812, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230809, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230808, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230807, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230806, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230805, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230801, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230731, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230730, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230729, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230726, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230725, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230724, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230723, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230722, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230719, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230718, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230717, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230716, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230715, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230712, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230711, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230710, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230709, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230708, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230705, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230704, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230703, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230702, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230701, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230628, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230627, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230626, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230625, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230624, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230621, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230620, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230619, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230618, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230617, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230614, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230613, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230612, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230611, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230610, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230607, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230606, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230603, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230531, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230530, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230529, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230528, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
TreasuryBill230130,20230527, 0.00, 0.00, 0.00, 995130.00,0.00, 0,0,D,995130.00,995540.00
