<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

TreasuryBill211227,20240122, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240121, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240120, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240117, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240116, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240115, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240114, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240113, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240110, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240109, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240108, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240107, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240106, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240103, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240102, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20240101, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231231, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231230, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231227, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231226, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231225, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231224, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231223, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231220, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231219, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231218, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231216, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231213, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231212, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231211, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231210, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231209, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231206, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231205, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231204, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231203, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231202, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231129, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231128, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231127, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231126, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231125, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231122, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231121, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231120, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231119, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231118, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
TreasuryBill211227,20231115, 0.00, 0.00, 0.00, 996919.00,0.00, 0,0,D,996919.00,997000.00
