<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

TreasuryBill231127,20240128, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240127, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240124, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240123, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240122, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240121, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240120, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240117, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240116, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240115, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240114, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240113, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240110, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240109, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240108, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240107, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240106, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240103, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240102, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20240101, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231231, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231230, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231227, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231226, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231225, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231224, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231223, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231220, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231219, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231218, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231216, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231213, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231212, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231211, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231210, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231209, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
TreasuryBill231127,20231206, 0.00, 0.00, 0.00, 991580.00,0.00, 0,0,D,991580.00,993500.00
